2005-01-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 14.08, RSI ~N/A, Net Advances 182, McClellan N/A, Score: 0/39
2021-12-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 17.33, RSI ~N/A, Net Advances 2229, McClellan 82, Score: 0/39
2021-12-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 17.22, RSI ~N/A, Net Advances 2234, McClellan 103, Score: 0/39
2022-01-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.60, RSI ~N/A, Net Advances 2237, McClellan 115, Score: 0/39
2022-01-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 16.91, RSI ~N/A, Net Advances 2239, McClellan 104, Score: 0/39
2022-01-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.73, RSI ~N/A, Net Advances 2221, McClellan -11, Score: 0/39
2022-01-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.61, RSI ~N/A, Net Advances 2226, McClellan 17, Score: 0/39
2022-01-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 18.76, RSI ~N/A, Net Advances 2227, McClellan 11, Score: 0/39
2022-01-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.40, RSI ~N/A, Net Advances 2220, McClellan -39, Score: 0/39
2022-01-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 18.41, RSI ~N/A, Net Advances 2233, McClellan 50, Score: 0/39
2022-01-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 17.62, RSI ~N/A, Net Advances 2234, McClellan 46, Score: 0/39
2022-01-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 20.31, RSI ~N/A, Net Advances 2232, McClellan 22, Score: 0/39
2022-01-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.19, RSI ~N/A, Net Advances 2228, McClellan -12, Score: 0/39
2022-01-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.79, RSI ~N/A, Net Advances N/A, McClellan -8, Score: 0/39
2022-01-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.85, RSI ~N/A, Net Advances 2217, McClellan -71, Score: 0/39
2022-01-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.59, RSI ~N/A, Net Advances 2203, McClellan -145, Score: 0/39
2022-01-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.85, RSI ~N/A, Net Advances 2188, McClellan -229, Score: 0/39
2022-01-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.90, RSI ~N/A, Net Advances 2187, McClellan -213, Score: 0/39
2022-01-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.16, RSI ~N/A, Net Advances 2182, McClellan -204, Score: 0/39
2022-01-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.96, RSI ~N/A, Net Advances 2181, McClellan -173, Score: 0/39
2022-01-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.49, RSI ~N/A, Net Advances 2166, McClellan -246, Score: 0/39
2022-01-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.66, RSI ~N/A, Net Advances 2177, McClellan -144, Score: 0/39
2022-01-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.83, RSI ~N/A, Net Advances 2194, McClellan -5, Score: 0/39
2022-02-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.96, RSI ~N/A, Net Advances 2206, McClellan 83, Score: 0/39
2022-02-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.09, RSI ~N/A, Net Advances 2204, McClellan 56, Score: 0/39
2022-02-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.35, RSI ~N/A, Net Advances 2186, McClellan -58, Score: 0/39
2022-02-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.22, RSI ~N/A, Net Advances 2184, McClellan -51, Score: 0/39
2022-02-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.86, RSI ~N/A, Net Advances 2187, McClellan -22, Score: 0/39
2022-02-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.44, RSI ~N/A, Net Advances 2194, McClellan 27, Score: 0/39
2022-02-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.96, RSI ~N/A, Net Advances 2206, McClellan 107, Score: 0/39
2022-02-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.91, RSI ~N/A, Net Advances 2191, McClellan 10, Score: 0/39
2022-02-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.36, RSI ~N/A, Net Advances 2180, McClellan -57, Score: 0/39
2022-02-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.33, RSI ~N/A, Net Advances 2167, McClellan -119, Score: 0/39
2022-02-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.70, RSI ~N/A, Net Advances 2182, McClellan -0, Score: 0/39
2022-02-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.29, RSI ~N/A, Net Advances 2191, McClellan 51, Score: 0/39
2022-02-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.11, RSI ~N/A, Net Advances 2177, McClellan -36, Score: 0/39
2022-02-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.75, RSI ~N/A, Net Advances 2171, McClellan -66, Score: 0/39
2022-02-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.81, RSI ~N/A, Net Advances N/A, McClellan -34, Score: 0/39
2022-02-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.02, RSI ~N/A, Net Advances 2157, McClellan -102, Score: 0/39
2022-02-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.32, RSI ~N/A, Net Advances 2162, McClellan -52, Score: 0/39
2022-02-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.59, RSI ~N/A, Net Advances 2180, McClellan 74, Score: 0/39
2022-02-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.15, RSI ~N/A, Net Advances 2177, McClellan 55, Score: 0/39
2022-03-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.32, RSI ~N/A, Net Advances 2170, McClellan 16, Score: 0/39
2022-03-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.74, RSI ~N/A, Net Advances 2184, McClellan 103, Score: 0/39
2022-03-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.48, RSI ~N/A, Net Advances 2179, McClellan 57, Score: 0/39
2022-03-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.98, RSI ~N/A, Net Advances 2169, McClellan -1, Score: 0/39
2022-03-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 36.45, RSI ~N/A, Net Advances 2152, McClellan -93, Score: 0/39
2022-03-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 35.13, RSI ~N/A, Net Advances 2154, McClellan -66, Score: 0/39
2022-03-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.45, RSI ~N/A, Net Advances 2168, McClellan 40, Score: 0/39
2022-03-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.23, RSI ~N/A, Net Advances 2163, McClellan 10, Score: 0/39
2022-03-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.75, RSI ~N/A, Net Advances 2150, McClellan -63, Score: 0/39
2022-03-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.77, RSI ~N/A, Net Advances 2138, McClellan -131, Score: 0/39
2022-03-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.83, RSI ~N/A, Net Advances 2149, McClellan -38, Score: 0/39
2022-03-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.67, RSI ~N/A, Net Advances 2166, McClellan 79, Score: 0/39
2022-03-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.67, RSI ~N/A, Net Advances 2182, McClellan N/A, Score: 0/39
2022-03-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.87, RSI ~N/A, Net Advances 2191, McClellan 209, Score: 0/39
2022-03-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.53, RSI ~N/A, Net Advances 2184, McClellan 148, Score: 0/39
2022-03-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.94, RSI ~N/A, Net Advances 2190, McClellan 172, Score: 0/39
2022-03-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.57, RSI ~N/A, Net Advances 2180, McClellan 100, Score: 0/39
2022-03-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.67, RSI ~N/A, Net Advances 2189, McClellan 143, Score: 0/39
2022-03-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 20.81, RSI ~N/A, Net Advances 2191, McClellan 129, Score: 0/39
2022-03-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.63, RSI ~N/A, Net Advances 2190, McClellan 112, Score: 0/39
2022-03-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 18.90, RSI ~N/A, Net Advances 2208, McClellan 206, Score: 0/39
2022-03-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.33, RSI ~N/A, Net Advances 2202, McClellan 143, Score: 0/39
2022-03-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 20.56, RSI ~N/A, Net Advances 2194, McClellan 81, Score: 0/39
2022-04-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.63, RSI ~N/A, Net Advances 2203, McClellan 120, Score: 0/39
2022-04-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 18.57, RSI ~N/A, Net Advances 2204, McClellan 118, Score: 0/39
2022-04-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.03, RSI ~N/A, Net Advances 2187, McClellan -7, Score: 0/39
2022-04-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.10, RSI ~N/A, Net Advances 2174, McClellan -82, Score: 0/39
2022-04-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.55, RSI ~N/A, Net Advances 2173, McClellan -79, Score: 0/39
2022-04-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.16, RSI ~N/A, Net Advances 2169, McClellan -88, Score: 0/39
2022-04-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.37, RSI ~N/A, Net Advances 2158, McClellan -144, Score: 0/39
2022-04-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.26, RSI ~N/A, Net Advances 2157, McClellan -122, Score: 0/39
2022-04-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.82, RSI ~N/A, Net Advances 2169, McClellan -28, Score: 0/39
2022-04-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.70, RSI ~N/A, Net Advances 2161, McClellan -72, Score: 0/39
2022-04-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.17, RSI ~N/A, Net Advances N/A, McClellan -48, Score: 0/39
2022-04-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.37, RSI ~N/A, Net Advances 2171, McClellan 24, Score: 0/39
2022-04-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 20.32, RSI ~N/A, Net Advances 2180, McClellan 71, Score: 0/39
2022-04-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.68, RSI ~N/A, Net Advances 2163, McClellan -43, Score: 0/39
2022-04-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.21, RSI ~N/A, Net Advances 2143, McClellan -152, Score: 0/39
2022-04-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.02, RSI ~N/A, Net Advances 2143, McClellan -128, Score: 0/39
2022-04-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.52, RSI ~N/A, Net Advances 2124, McClellan -219, Score: 0/39
2022-04-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.60, RSI ~N/A, Net Advances 2122, McClellan -202, Score: 0/39
2022-04-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.99, RSI ~N/A, Net Advances 2138, McClellan -71, Score: 0/39
2022-04-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 33.40, RSI ~N/A, Net Advances 2120, McClellan -159, Score: 0/39
2022-05-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.34, RSI ~N/A, Net Advances 2117, McClellan -152, Score: 0/39
2022-05-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.25, RSI ~N/A, Net Advances 2125, McClellan -76, Score: 0/39
2022-05-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.42, RSI ~N/A, Net Advances 2144, McClellan 53, Score: 0/39
2022-05-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.20, RSI ~N/A, Net Advances 2122, McClellan -80, Score: 0/39
2022-05-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.19, RSI ~N/A, Net Advances 2111, McClellan -127, Score: 0/39
2022-05-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 34.75, RSI ~N/A, Net Advances 2092, McClellan -233, Score: 0/39
2022-05-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.99, RSI ~N/A, Net Advances 2089, McClellan -212, Score: 0/39
2022-05-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.56, RSI ~N/A, Net Advances 2080, McClellan -237, Score: 0/39
2022-05-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.77, RSI ~N/A, Net Advances 2081, McClellan -188, Score: 0/39
2022-05-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.87, RSI ~N/A, Net Advances 2098, McClellan -43, Score: 0/39
2022-05-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.47, RSI ~N/A, Net Advances 2099, McClellan -22, Score: 0/39
2022-05-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.10, RSI ~N/A, Net Advances 2113, McClellan 84, Score: 0/39
2022-05-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.96, RSI ~N/A, Net Advances 2093, McClellan -31, Score: 0/39
2022-05-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.35, RSI ~N/A, Net Advances 2094, McClellan -8, Score: 0/39
2022-05-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.43, RSI ~N/A, Net Advances 2092, McClellan -4, Score: 0/39
2022-05-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.48, RSI ~N/A, Net Advances 2103, McClellan 74, Score: 0/39
2022-05-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.45, RSI ~N/A, Net Advances 2100, McClellan 54, Score: 0/39
2022-05-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.37, RSI ~N/A, Net Advances 2116, McClellan 156, Score: 0/39
2022-05-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.50, RSI ~N/A, Net Advances 2134, McClellan 256, Score: 0/39
2022-05-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.72, RSI ~N/A, Net Advances 2155, McClellan 349, Score: 0/39
2022-05-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.19, RSI ~N/A, Net Advances N/A, McClellan 270, Score: 0/39
2022-06-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.69, RSI ~N/A, Net Advances 2148, McClellan 203, Score: 0/39
2022-06-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.72, RSI ~N/A, Net Advances 2163, McClellan 265, Score: 0/39
2022-06-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.79, RSI ~N/A, Net Advances 2150, McClellan 155, Score: 0/39
2022-06-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.07, RSI ~N/A, Net Advances 2153, McClellan 153, Score: 0/39
2022-06-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.02, RSI ~N/A, Net Advances 2165, McClellan 197, Score: 0/39
2022-06-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.96, RSI ~N/A, Net Advances 2151, McClellan 90, Score: 0/39
2022-06-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.09, RSI ~N/A, Net Advances 2131, McClellan -38, Score: 0/39
2022-06-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.75, RSI ~N/A, Net Advances 2111, McClellan -149, Score: 0/39
2022-06-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 34.02, RSI ~N/A, Net Advances 2086, McClellan -280, Score: 0/39
2022-06-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.69, RSI ~N/A, Net Advances 2078, McClellan -283, Score: 0/39
2022-06-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.62, RSI ~N/A, Net Advances 2091, McClellan -158, Score: 0/39
2022-06-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 32.95, RSI ~N/A, Net Advances 2069, McClellan -269, Score: 0/39
2022-06-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 31.13, RSI ~N/A, Net Advances 2075, McClellan -188, Score: 0/39
2022-06-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 30.19, RSI ~N/A, Net Advances N/A, McClellan -123, Score: 0/39
2022-06-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.95, RSI ~N/A, Net Advances 2073, McClellan -108, Score: 0/39
2022-06-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 29.05, RSI ~N/A, Net Advances 2079, McClellan -46, Score: 0/39
2022-06-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.23, RSI ~N/A, Net Advances 2098, McClellan 77, Score: 0/39
2022-06-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.95, RSI ~N/A, Net Advances 2100, McClellan 101, Score: 0/39
2022-06-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.36, RSI ~N/A, Net Advances 2089, McClellan 20, Score: 0/39
2022-06-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.16, RSI ~N/A, Net Advances 2081, McClellan -27, Score: 0/39
2022-06-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 28.71, RSI ~N/A, Net Advances 2075, McClellan -52, Score: 0/39
2022-07-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.70, RSI ~N/A, Net Advances 2090, McClellan 47, Score: 0/39
2022-07-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.54, RSI ~N/A, Net Advances N/A, McClellan 51, Score: 0/39
2022-07-06, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.73, RSI ~N/A, Net Advances 2083, McClellan 13, Score: 0/39
2022-07-07, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.08, RSI ~N/A, Net Advances 2098, McClellan 110, Score: 0/39
2022-07-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.64, RSI ~N/A, Net Advances 2095, McClellan 87, Score: 0/39
2022-07-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.17, RSI ~N/A, Net Advances 2084, McClellan 15, Score: 0/39
2022-07-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 27.29, RSI ~N/A, Net Advances 2080, McClellan 2, Score: 0/39
2022-07-13, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.82, RSI ~N/A, Net Advances 2077, McClellan -14, Score: 0/39
2022-07-14, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.40, RSI ~N/A, Net Advances 2063, McClellan -86, Score: 0/39
2022-07-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.23, RSI ~N/A, Net Advances 2081, McClellan 42, Score: 0/39
2022-07-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.30, RSI ~N/A, Net Advances 2082, McClellan 52, Score: 0/39
2022-07-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.50, RSI ~N/A, Net Advances 2101, McClellan 165, Score: 0/39
2022-07-20, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.88, RSI ~N/A, Net Advances 2111, McClellan 212, Score: 0/39
2022-07-21, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.11, RSI ~N/A, Net Advances 2118, McClellan 174, Score: 0/39
2022-07-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.03, RSI ~N/A, Net Advances 2111, McClellan 156, Score: 0/39
2022-07-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.36, RSI ~N/A, Net Advances 2117, McClellan 171, Score: 0/39
2022-07-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.69, RSI ~N/A, Net Advances 2111, McClellan 107, Score: 0/39
2022-07-27, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.24, RSI ~N/A, Net Advances 2129, McClellan 204, Score: 0/39
2022-07-28, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.33, RSI ~N/A, Net Advances 2143, McClellan 258, Score: 0/39
2022-07-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.33, RSI ~N/A, Net Advances 2156, McClellan 292, Score: 0/39
2022-08-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.84, RSI ~N/A, Net Advances 2158, McClellan 258, Score: 0/39
2022-08-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.93, RSI ~N/A, Net Advances 2154, McClellan 202, Score: 0/39
2022-08-03, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.95, RSI ~N/A, Net Advances 2164, McClellan 234, Score: 0/39
2022-08-04, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.44, RSI ~N/A, Net Advances 2162, McClellan 187, Score: 0/39
2022-08-05, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.15, RSI ~N/A, Net Advances 2161, McClellan 144, Score: 0/39
2022-08-08, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.29, RSI ~N/A, Net Advances 2170, McClellan 172, Score: 0/39
2022-08-09, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.77, RSI ~N/A, Net Advances 2162, McClellan 90, Score: 0/39
2022-08-10, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.74, RSI ~N/A, Net Advances 2181, McClellan 184, Score: 0/39
2022-08-11, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 20.20, RSI ~N/A, Net Advances 2186, McClellan 176, Score: 0/39
2022-08-12, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.53, RSI ~N/A, Net Advances 2203, McClellan 236, Score: 0/39
2022-08-15, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.95, RSI ~N/A, Net Advances 2203, McClellan 191, Score: 0/39
2022-08-16, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.69, RSI ~N/A, Net Advances 2205, McClellan 161, Score: 0/39
2022-08-17, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.90, RSI ~N/A, Net Advances 2188, McClellan 26, Score: 0/39
2022-08-18, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 19.56, RSI ~N/A, Net Advances 2193, McClellan 36, Score: 0/39
2022-08-19, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 20.60, RSI ~N/A, Net Advances 2173, McClellan -100, Score: 0/39
2022-08-22, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 23.80, RSI ~N/A, Net Advances 2154, McClellan -208, Score: 0/39
2022-08-23, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 24.11, RSI ~N/A, Net Advances 2153, McClellan -197, Score: 0/39
2022-08-24, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 22.82, RSI ~N/A, Net Advances 2160, McClellan -134, Score: 0/39
2022-08-25, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 21.78, RSI ~N/A, Net Advances 2177, McClellan -27, Score: 0/39
2022-08-26, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.56, RSI ~N/A, Net Advances 2156, McClellan -154, Score: 0/39
2022-08-29, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.21, RSI ~N/A, Net Advances 2146, McClellan -194, Score: 0/39
2022-08-30, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 26.21, RSI ~N/A, Net Advances 2129, McClellan -271, Score: 0/39
2022-08-31, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.87, RSI ~N/A, Net Advances 2117, McClellan -302, Score: 0/39
2022-09-01, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.56, RSI ~N/A, Net Advances 2106, McClellan -334, Score: 0/39
2022-09-02, Bullish Momentum, S&P 5-day N/A, RSP Divergence +0.00%, VIX 25.47, RSI ~N/A, Net Advances 2100, McClellan -316, Score: 0/39
